Study,Measure,Ecosystem,Zone,Climate,Trophy,Approach,Control,Treatment,ES,,,,,,,
29,Cons,NA,NA,NA,NA,LE,1978.00,229.00,-0.94,,,,,,,
17,Cons,E,Cz,Temperate,NA,LE,441.00,22.50,-1.29,,,,,,,
17,Cons,E,Cz,Temperate,NA,LE,60.00,NA,NA,,,,,,,
17,CF,E,Cz,Temperate,NA,LE,134.00,49.50,-0.43,,,,,,,
40,CF,E,Cz,Temperate,Oligotrophic,M,46.20,8.80,-0.72,,,,,,,
40,CF,E,Cz,Temperate,Eutrophic,M,24.70,29.10,0.07,,,,,,,
40,CF,E,Cz,Temperate,Eutrophic,M,51.30,0.10,-2.71,,,,,,,
40,CF,E,Cz,Temperate,Oligotrophic,M,20.00,0.70,-1.46,,,,,,,
82,CF,F,Pz,Temperate,Oligotrophic,FW,92.00,3.00,-1.49,,,,,,,
82,CF,F,Pz,Temperate,Oligotrophic,FW,99.00,2.00,-1.69,,,,,,,
82,CF,F,Pz,Temperate,Oligotrophic,FW,90.00,10.00,-0.95,,,,,,,
82,CF,F,Pz,Temperate,Oligotrophic,FW,90.00,8.00,-1.05,,,,,,,
82,CF,F,Pz,Temperate,Oligotrophic,FW,96.00,5.00,-1.28,,,,,,,
82,CF,F,Pz,Temperate,Oligotrophic,FW,96.00,5.00,-1.28,,,,,,,
82,CF,F,Pz,Temperate,Oligotrophic,FW,77.00,22.00,-0.54,,,,,,,
82,CF,F,Pz,Temperate,Oligotrophic,FW,95.00,24.00,-0.60,,,,,,,
82,CF,F,Pz,Temperate,Oligotrophic,FW,69.00,51.00,-0.13,,,,,,,
82,CF,F,Pz,Temperate,Oligotrophic,FW,63.00,47.00,-0.13,,,,,,,
82,CF,F,Pz,Temperate,Oligotrophic,FW,70.00,39.00,-0.25,,,,,,,
82,CF,F,Pz,Temperate,Oligotrophic,FW,82.00,35.00,-0.37,,,,,,,
108,CF,F,NA,Temperate,Eutrophic,M,92.00,4.00,-1.36,,,,,,,
108,CF,F,NA,Temperate,Eutrophic,M,92.00,5.00,-1.26,,,,,,,
108,CF,F,NA,Temperate,Eutrophic,M,0.47,0.60,0.11,,,,,,,
108,CF,F,NA,Temperate,Eutrophic,M,0.47,0.12,-0.59,,,,,,,
13,CF,F,Pz,Temperate,Oligotrophic,FE,185.00,38.00,-0.69,,,,,,,
13,CF,F,Pz,Temperate,Oligotrophic,FE,75.00,13.00,-0.76,,,,,,,
13,CF,F,Pz,Temperate,Oligotrophic,FE,130.00,10.00,-1.11,,,,,,,
28,CF,F,Pz,Temperate,Mesotrophic,FE,294.00,37.00,-0.90,,,,,,,
39,CF,F,Pz,Temperate,NA,M,170.00,85.00,-0.30,,,,,,,
39,CF,F,Pz,Temperate,NA,M,63.00,508.00,0.91,,,,,,,
69,CF,F,Pz,Temperate,Oligotrophic,M,7.80,30.00,0.59,,,,,,,
107,Cons,F,Pz,Temperate,NA,FW,1.77,12.05,0.83,,,,,,,
107,Cons,F,Pz,Temperate,NA,FW,2.20,12.93,0.77,,,,,,,
107,Cons,F,Pz,Temperate,NA,FW,1.44,12.00,0.92,,,,,,,
107,Cons,F,Pz,Temperate,NA,FW,1.47,8.14,0.74,,,,,,,
107,Cons,F,Pz,Temperate,NA,FW,1.20,7.63,0.80,,,,,,,
107,Cons,F,Pz,Temperate,NA,FW,1.01,6.67,0.82,,,,,,,
107,Cons,F,Pz,Temperate,NA,FW,5.04,27.68,0.74,,,,,,,
107,Cons,F,Pz,Temperate,NA,FW,4.31,21.36,0.70,,,,,,,
107,Cons,F,Pz,Temperate,NA,FW,3.50,16.99,0.69,,,,,,,
107,Cons,F,Pz,Temperate,NA,FW,3.02,8.94,0.47,,,,,,,
107,Cons,F,Pz,Temperate,NA,FW,1.93,8.74,0.66,,,,,,,
107,Cons,F,Pz,Temperate,NA,FW,1.67,5.77,0.54,,,,,,,
107,Cons,F,Pz,Temperate,NA,FW,74.00,56.50,-0.12,,,,,,,
107,Cons,F,Pz,Temperate,NA,FW,92.60,68.70,-0.13,,,,,,,
107,Cons,F,Pz,Temperate,NA,FW,67.00,63.10,-0.03,,,,,,,
107,Cons,F,Pz,Temperate,NA,FW,52.60,35.20,-0.17,,,,,,,
107,Cons,F,Pz,Temperate,NA,FW,53.40,34.00,-0.20,,,,,,,
107,Cons,F,Pz,Temperate,NA,FW,50.70,33.90,-0.17,,,,,,,
107,Cons,F,Pz,Temperate,NA,FW,74.30,78.70,0.02,,,,,,,
107,Cons,F,Pz,Temperate,NA,FW,64.00,67.80,0.03,,,,,,,
107,Cons,F,Pz,Temperate,NA,FW,57.30,60.70,0.03,,,,,,,
107,Cons,F,Pz,Temperate,NA,FW,92.80,36.60,-0.40,,,,,,,
107,Cons,F,Pz,Temperate,NA,FW,95.70,37.70,-0.40,,,,,,,
107,Cons,F,Pz,Temperate,NA,FW,84.10,33.10,-0.40,,,,,,,
107,Cons,F,Pz,Temperate,NA,FW,3.62,12.05,0.52,,,,,,,
107,Cons,F,Pz,Temperate,NA,FW,2.88,12.93,0.65,,,,,,,
107,Cons,F,Pz,Temperate,NA,FW,1.36,12.00,0.95,,,,,,,
107,Cons,F,Pz,Temperate,NA,FW,4.50,8.14,0.26,,,,,,,
107,Cons,F,Pz,Temperate,NA,FW,4.26,7.63,0.25,,,,,,,
107,Cons,F,Pz,Temperate,NA,FW,2.86,6.67,0.37,,,,,,,
107,Cons,F,Pz,Temperate,NA,FW,7.57,27.68,0.56,,,,,,,
107,Cons,F,Pz,Temperate,NA,FW,4.39,21.36,0.69,,,,,,,
107,Cons,F,Pz,Temperate,NA,FW,1.85,16.99,0.96,,,,,,,
107,Cons,F,Pz,Temperate,NA,FW,3.67,8.94,0.39,,,,,,,
107,Cons,F,Pz,Temperate,NA,FW,2.96,8.74,0.47,,,,,,,
107,Cons,F,Pz,Temperate,NA,FW,2.30,5.77,0.40,,,,,,,
107,Cons,F,Pz,Temperate,NA,FW,60.80,56.50,-0.03,,,,,,,
107,Cons,F,Pz,Temperate,NA,FW,72.30,68.70,-0.02,,,,,,,
107,Cons,F,Pz,Temperate,NA,FW,51.00,63.10,0.09,,,,,,,
107,Cons,F,Pz,Temperate,NA,FW,72.70,35.20,-0.31,,,,,,,
107,Cons,F,Pz,Temperate,NA,FW,72.60,34.00,-0.33,,,,,,,
107,Cons,F,Pz,Temperate,NA,FW,70.10,33.90,-0.32,,,,,,,
107,Cons,F,Pz,Temperate,NA,FW,65.30,78.70,0.08,,,,,,,
107,Cons,F,Pz,Temperate,NA,FW,56.40,67.80,0.08,,,,,,,
107,Cons,F,Pz,Temperate,NA,FW,50.40,60.70,0.08,,,,,,,
107,Cons,F,Pz,Temperate,NA,FW,87.90,36.60,-0.38,,,,,,,
107,Cons,F,Pz,Temperate,NA,FW,91.10,37.70,-0.38,,,,,,,
107,Cons,F,Pz,Temperate,NA,FW,80.60,33.10,-0.39,,,,,,,
107,Cons,F,Pz,Temperate,NA,FW,27.87,12.05,-0.36,,,,,,,
107,Cons,F,Pz,Temperate,NA,FW,37.18,12.93,-0.46,,,,,,,
107,Cons,F,Pz,Temperate,NA,FW,31.01,12.00,-0.41,,,,,,,
107,Cons,F,Pz,Temperate,NA,FW,26.02,8.14,-0.50,,,,,,,
107,Cons,F,Pz,Temperate,NA,FW,22.96,7.63,-0.48,,,,,,,
107,Cons,F,Pz,Temperate,NA,FW,16.32,6.67,-0.39,,,,,,,
107,Cons,F,Pz,Temperate,NA,FW,87.89,27.68,-0.50,,,,,,,
107,Cons,F,Pz,Temperate,NA,FW,69.75,21.36,-0.51,,,,,,,
107,Cons,F,Pz,Temperate,NA,FW,57.73,16.99,-0.53,,,,,,,
107,Cons,F,Pz,Temperate,NA,FW,22.14,8.94,-0.39,,,,,,,
107,Cons,F,Pz,Temperate,NA,FW,22.32,8.74,-0.41,,,,,,,
107,Cons,F,Pz,Temperate,NA,FW,13.43,5.77,-0.37,,,,,,,
107,Cons,F,Pz,Temperate,NA,FW,37.70,56.50,0.18,,,,,,,
107,Cons,F,Pz,Temperate,NA,FW,47.00,68.70,0.16,,,,,,,
107,Cons,F,Pz,Temperate,NA,FW,34.00,63.10,0.27,,,,,,,
107,Cons,F,Pz,Temperate,NA,FW,45.90,35.20,-0.12,,,,,,,
107,Cons,F,Pz,Temperate,NA,FW,44.40,34.00,-0.12,,,,,,,
107,Cons,F,Pz,Temperate,NA,FW,44.30,33.90,-0.12,,,,,,,
107,Cons,F,Pz,Temperate,NA,FW,45.90,78.70,0.23,,,,,,,
107,Cons,F,Pz,Temperate,NA,FW,39.10,67.80,0.24,,,,,,,
107,Cons,F,Pz,Temperate,NA,FW,35.00,60.70,0.24,,,,,,,
107,Cons,F,Pz,Temperate,NA,FW,42.60,36.60,-0.07,,,,,,,
107,Cons,F,Pz,Temperate,NA,FW,49.20,37.70,-0.12,,,,,,,
107,Cons,F,Pz,Temperate,NA,FW,39.80,33.10,-0.08,,,,,,,
30,Cons,F,NA,Temperate,Eutrophic,FW,242.00,52.00,-0.67,,,,,,,
30,Cons,F,NA,Temperate,Eutrophic,FW,250.00,70.00,-0.55,,,,,,,
30,Cons,F,NA,Temperate,Eutrophic,FW,260.00,12.00,-1.34,,,,,,,
30,Cons,F,NA,Temperate,Eutrophic,FW,239.00,109.00,-0.34,,,,,,,
79,CF,M,Oz,Temperate,NA,FW,8.00,5.30,-0.18,,,,,,,
16,CF,M,Cz,Temperate,Oligotrophic,LE,32.00,10.00,-0.51,,,,,,,
18,CF,M,Cz,Temperate,NA,M,31715.00,31638.00,0.00,,,,,,,
18,CF,M,Cz,Temperate,NA,M,26956.00,19320.00,-0.14,,,,,,,
18,CF,M,Cz,Temperate,NA,M,3549.00,3731.00,0.02,,,,,,,
18,CF,M,Cz,Temperate,NA,M,1210.00,2520.00,0.32,,,,,,,
18,CF,M,Cz,Temperate,NA,M,23920.00,2162.00,-1.04,,,,,,,
50,CF,M,Cz,Temperate,NA,LE,76.70,41.70,-0.26,,,,,,,
60,CF,M,Cz,Temperate,NA,FW,9.00,13.00,0.16,,,,,,,
102,CF,M,Cz,Temperate,Mesotrophic,LE,17.00,5.00,-0.53,,,,,,,
102,CF,M,Cz,Temperate,Mesotrophic,LE,2.00,62.00,1.49,,,,,,,
98,CF,M,NA,Temperate,NA,LE+M,0.71,0.05,-1.14,,,,,,,
98,CF,M,NA,Temperate,NA,LE+M,4.92,0.48,-1.01,,,,,,,
98,CF,M,NA,Temperate,NA,LE+M,35.08,0.30,-2.07,,,,,,,
63,CF,M,Cz,Temperate,NA,FW,14.20,47.60,0.53,,,,,,,
63,CF,M,Cz,Temperate,NA,FW,20.50,26.10,0.10,,,,,,,
91,CF,F,Lz,Temperate,NA,FW+M,1.18,7.73,0.82,,,,,,,
91,CF,F,Lz,Temperate,NA,FW+M,1.41,0.21,-0.83,,,,,,,
91,CF,F,Lz,Temperate,NA,FW+M,1.21,0.37,-0.51,,,,,,,
91,CF,F,Lz,Temperate,NA,FW+M,1.99,0.52,-0.58,,,,,,,
91,CF,F,Lz,Temperate,NA,FW+M,5.29,5.48,0.02,,,,,,,
91,CF,F,Lz,Temperate,NA,FW+M,1.91,7.06,0.57,,,,,,,
91,CF,F,Lz,Temperate,NA,FW+M,1.08,0.16,-0.83,,,,,,,
91,CF,F,Lz,Temperate,NA,FW+M,0.62,0.27,-0.36,,,,,,,
91,CF,F,Lz,Temperate,NA,FW+M,0.46,0.60,0.12,,,,,,,
91,CF,F,Lz,Temperate,NA,FW+M,0.36,0.37,0.01,,,,,,,
0,CF,M,Oz,Temperate,NA,LE,1,0.50,-0.30,,,,,,,
41,CF,M,Oz,Temperate,NA,LE,386.00,33.00,-1.07,,,,,,,
41,CF,M,Oz,Temperate,NA,LE,1815.00,59.00,-1.49,,,,,,,
57,CF,M,Oz,Temperate,NA,FW,3.80,0.78,-0.69,,,,,,,
57,CF,M,Oz,Temperate,NA,FW,0.17,0.27,0.20,,,,,,,
63,CF,M,Oz,Temperate,NA,FW,27.50,34.80,0.10,,,,,,,
63,CF,M,Oz,Temperate,NA,FW,39.80,17.20,-0.36,,,,,,,
71,Cons,M,Oz,Temperate,NA,LE,0.21,0.38,0.26,,,,,,,
71,Cons,M,Oz,Temperate,NA,LE,0.21,0.43,0.31,,,,,,,
71,Cons,M,Oz,Temperate,NA,LE,0.14,0.38,0.43,,,,,,,
71,Cons,M,Oz,Temperate,NA,LE,0.33,0.38,0.06,,,,,,,
71,Cons,M,Oz,Temperate,NA,LE,0.12,0.38,0.50,,,,,,,
73,CF,M,Oz,Temperate,NA,LE,0.44,0.74,0.23,,,,,,,
85,Cons,M,Oz,Temperate,NA,LE,-2.71,371.00,NA,,,,,,,
85,Cons,M,Oz,Temperate,NA,LE,67.70,418.00,0.79,,,,,,,
85,Cons,M,Oz,Temperate,NA,LE,44.00,40.00,-0.04,,,,,,,
85,Cons,M,Oz,Temperate,NA,LE,12.00,11.00,-0.04,,,,,,,
85,Cons,M,Oz,Temperate,NA,LE,2.00,2.00,0.00,,,,,,,
85,Cons,M,Oz,Temperate,NA,LE,12.00,9.00,-0.12,,,,,,,
85,Cons,M,Oz,Temperate,NA,LE,2.00,2.00,0.00,,,,,,,
85,Cons,M,Oz,Temperate,NA,LE,44.00,38.00,-0.06,,,,,,,
91,Cons,F,Pz,Temperate,NA,FW+M,77.60,30.30,-0.41,,,,,,,
91,CF,F,Pz,Temperate,NA,FW+M,1.41,11.20,0.90,,,,,,,
91,CF,F,Pz,Temperate,NA,FW+M,1.31,0.09,-1.16,,,,,,,
91,CF,F,Pz,Temperate,NA,FW+M,1.88,0.38,-0.69,,,,,,,
91,CF,F,Pz,Temperate,NA,FW+M,7.35,0.63,-1.07,,,,,,,
91,CF,F,Pz,Temperate,NA,FW+M,1.36,0.85,-0.20,,,,,,,
91,CF,F,Pz,Temperate,NA,FW+M,0.71,5.09,0.86,,,,,,,
91,CF,F,Pz,Temperate,NA,FW+M,1.12,0.05,-1.40,,,,,,,
91,CF,F,Pz,Temperate,NA,FW+M,0.63,0.14,-0.65,,,,,,,
91,CF,F,Pz,Temperate,NA,FW+M,0.69,0.41,-0.23,,,,,,,
91,CF,F,Pz,Temperate,NA,FW+M,0.41,0.42,0.01,,,,,,,
97,CF,M,Oz,Temperate,NA,FW,42,3,-1.15,,,,,,,
97,CF,M,Oz,Temperate,NA,FW,99,1,-2.00,,,,,,,
97,CF,M,Oz,Temperate,NA,FW,80,47,-0.23,,,,,,,
99,CF,M,Oz,Temperate,NA,FW,0.90,2.50,0.44,,,,,,,
99,CF,M,Oz,Temperate,NA,FW,0.90,3.60,0.60,,,,,,,
99,CF,M,Oz,Temperate,NA,FW,2.50,2.50,0.00,,,,,,,
99,CF,M,Oz,Temperate,NA,FW,3.60,1.30,-0.44,,,,,,,
99,CF,M,Oz,Temperate,NA,FW,2.70,1.30,-0.32,,,,,,,
99,CF,M,Oz,Temperate,NA,FW,1.60,1.30,-0.09,,,,,,,
119,Cons,M,Oz,Temperate,NA,LE,0.50,0.81,0.21,,,,,,,
119,Cons,M,Oz,Temperate,NA,LE,0.58,0.65,0.05,,,,,,,
119,Cons,M,Oz,Temperate,NA,LE,0.86,0.90,0.02,,,,,,,
119,Cons,M,Oz,Temperate,NA,LE,0.31,0.24,-0.11,,,,,,,
119,Cons,M,Oz,Temperate,NA,LE,0.30,0.41,0.14,,,,,,,
119,Cons,M,Oz,Temperate,NA,LE,0.54,0.20,-0.43,,,,,,,
119,Cons,M,Oz,Temperate,NA,LE,0.93,0.85,-0.04,,,,,,,
119,Cons,M,Oz,Temperate,NA,LE,0.27,1.49,0.74,,,,,,,
119,Cons,M,Oz,Temperate,NA,LE,0.78,0.95,0.09,,,,,,,
119,Cons,M,Oz,Temperate,NA,LE,0.41,0.61,0.17,,,,,,,
119,Cons,M,Oz,Temperate,NA,LE,-2.71,1.03,NA,,,,,,,
119,Cons,M,Oz,Temperate,NA,LE,1.39,0.85,-0.21,,,,,,,
119,Cons,M,Oz,Temperate,NA,LE,0.76,0.96,0.10,,,,,,,
119,Cons,M,Oz,Temperate,NA,LE,0.12,0.38,0.50,,,,,,,
119,Cons,M,Oz,Temperate,NA,LE,0.87,0.81,-0.03,,,,,,,
119,Cons,M,Oz,Temperate,NA,LE,-2.71,0.81,NA,,,,,,,
119,Cons,M,Oz,Temperate,NA,LE,-2.71,0.65,NA,,,,,,,
119,Cons,M,Oz,Temperate,NA,LE,0.71,0.90,0.10,,,,,,,
119,Cons,M,Oz,Temperate,NA,LE,0.38,0.24,-0.20,,,,,,,
119,Cons,M,Oz,Temperate,NA,LE,0.42,0.41,-0.01,,,,,,,
119,Cons,M,Oz,Temperate,NA,LE,NA,0.20,NA,,,,,,,
119,Cons,M,Oz,Temperate,NA,LE,NA,0.85,NA,,,,,,,
119,Cons,M,Oz,Temperate,NA,LE,NA,1.49,NA,,,,,,,
119,Cons,M,Oz,Temperate,NA,LE,NA,0.95,NA,,,,,,,
119,Cons,M,Oz,Temperate,NA,LE,NA,0.61,NA,,,,,,,
119,Cons,M,Oz,Temperate,NA,LE,NA,1.03,NA,,,,,,,
119,Cons,M,Oz,Temperate,NA,LE,0.26,0.85,0.51,,,,,,,
119,Cons,M,Oz,Temperate,NA,LE,1.01,0.96,-0.02,,,,,,,
119,Cons,M,Oz,Temperate,NA,LE,0.17,0.38,0.35,,,,,,,
119,Cons,M,Oz,Temperate,NA,LE,0.22,0.81,0.57,,,,,,,
130,Cons,M,Oz,Temperate,NA,FW,12.00,21.00,0.24,,,,,,,
9,CF,M,Oz,Temperate,NA,M,29,15.00,-0.29,,,,,,,
9,CF,M,Oz,Temperate,NA,M,21,15.00,-0.15,,,,,,,
9,CF,M,Oz,Temperate,NA,M,35,15.00,-0.37,,,,,,,
33,Cons,M,NA,Temperate,NA,LE,69.50,38,-0.26,,,,,,,
60,CF,M,Cz,Temperate,NA,FW,14.00,29.00,0.32,,,,,,,
60,CF,M,Cz,Temperate,NA,FW,7.00,13.00,0.27,,,,,,,
92,CF,F,Cn,Temperate,NA,FW,7.50,7.50,0.00,,,,,,,
92,CF,F,Cn,Temperate,NA,FW,7.50,7.50,0.00,,,,,,,
92,CF,F,Cn,Temperate,NA,FW,3.50,3.50,0.00,,,,,,,
92,CF,F,Cn,Temperate,NA,FW,3.50,1.25,-0.45,,,,,,,
92,CF,F,Cn,Temperate,NA,FW,1.25,1.49,0.08,,,,,,,
92,CF,F,Cn,Temperate,NA,FW,7.50,1.25,-0.78,,,,,,,
92,CF,F,Cn,Temperate,NA,FW,7.50,1.25,-0.78,,,,,,,
92,CF,F,Cn,Temperate,NA,FW,1.25,1.49,0.08,,,,,,,
84,CF,M,Cz,Tropical,Oligotrophic,FW+M,289.00,18.00,-1.21,,,,,,,
77,Cons,F,Pz,Tropical,NA,FW,404.00,22.00,-1.26,,,,,,,
77,Cons,F,Pz,Tropical,NA,FW,404.00,23.00,-1.24,,,,,,,
77,Cons,F,Pz,Tropical,NA,FW,299.00,23.01,-1.11,,,,,,,
77,Cons,F,Pz,Tropical,NA,FW,299.00,189.00,-0.20,,,,,,,
77,Cons,F,Pz,Tropical,NA,FW,750.00,3.01,-2.40,,,,,,,
77,Cons,F,Pz,Tropical,NA,FW,750.00,255.00,-0.47,,,,,,,
77,Cons,F,Pz,Tropical,NA,FW,545.00,3.50,-2.19,,,,,,,
77,Cons,F,Pz,Tropical,NA,FW,545.00,53.00,-1.01,,,,,,,
66,CF,M,Cz,Tropical,Oligotrophic,FW+M,88.00,28.00,-0.50,,,,,,,
4,CF,M,Oz,Tropical,Oligotrophic,FW,0.90,0.57,-0.20,,,,,,,
4,CF,M,Oz,Tropical,Oligotrophic,FW,0.70,0.70,0.00,,,,,,,
4,CF,M,Oz,Tropical,Oligotrophic,FW,2.50,1.00,-0.40,,,,,,,
4,CF,M,Oz,Tropical,Oligotrophic,FW,1.40,0.20,-0.85,,,,,,,
4,CF,M,Oz,Tropical,Oligotrophic,FW,1.80,0.20,-0.95,,,,,,,
4,CF,M,Oz,Tropical,Oligotrophic,FW,4.00,0.24,-1.22,,,,,,,
4,CF,M,Oz,Tropical,Oligotrophic,FW,0.30,0.01,-1.48,,,,,,,
76,CF,M,NA,Tropical,NA,M,302.00,63.00,-0.68,,,,,,,
76,CF,M,NA,Tropical,NA,M,112.00,6.90,-1.21,,,,,,,
76,CF,M,NA,Tropical,NA,M,1.20,0.40,-0.48,,,,,,,
145,Cons,F,NA,NA,NA,LE,7631.2,1287.4,-0.77,,,,,,,
145,Cons,F,NA,NA,NA,LE,1210.8,2639.1,0.34,,,,,,,
145,Cons,F,NA,NA,NA,LE,1510.8,68,-1.35,,,,,,,
145,Cons,F,NA,NA,NA,LE,3192.2,1605.5,-0.30,,,,,,,
145,Cons,F,NA,NA,NA,LE,1855.5,2706.6,0.16,,,,,,,
145,Cons,F,NA,NA,NA,LE,8169.3,77.2,-2.02,,,,,,,
145,Cons,F,NA,NA,NA,LE,1225.7,1623.7,0.12,,,,,,,
145,Cons,F,NA,NA,NA,LE,2142.1,3874.2,0.26,,,,,,,
145,Cons,F,NA,NA,NA,LE,2493.6,111.3,-1.35,,,,,,,
145,Cons,F,NA,NA,NA,LE,1689.1,6338.9,0.57,,,,,,,
145,Cons,F,NA,NA,NA,LE,6835.1,5769.1,-0.07,,,,,,,
145,Cons,F,NA,NA,NA,LE,1205.1,5750.2,0.68,,,,,,,
145,Cons,F,NA,NA,NA,LE,1148.6,6622.6,0.76,,,,,,,
145,Cons,F,NA,NA,NA,LE,2566.5,632.3,-0.61,,,,,,,
145,Cons,F,NA,NA,NA,LE,1917.6,653.5,-0.47,,,,,,,
145,Cons,F,NA,NA,NA,LE,NA,841,NA,,,,,,,
145,Cons,F,NA,NA,NA,LE,NA,870,NA,,,,,,,
157,Cons,M,Cz,Temperate,NA,LE,0.938,0.13,-0.86,,,,,,,
157,Cons,M,Cz,Temperate,NA,LE,NA,0.31,NA,,,,,,,
157,Cons,M,Cz,Temperate,NA,LE,NA,0.276,NA,,,,,,,
157,Cons,M,Cz,Temperate,NA,LE,0.287,NA,NA,,,,,,,
157,Cons,M,Cz,Temperate,NA,LE,1.1,0.49,-0.35,,,,,,,
157,Cons,M,Cz,Temperate,NA,LE,1.23,0.372,-0.52,,,,,,,
150,CF,M,Cz,Tropical,Oligo-Mesotrophic,FW,13.24,6.25,-0.33,,,,,,,
150,CF,M,Cz,Tropical,Oligo-Mesotrophic,FW,18.06,4.51,-0.60,,,,,,,
151,CF,M,Oz,Tropical,Oligotrophic,FW,9.27,10.84,0.07,,,,,,,
151,CF,M,Oz,Tropical,Oligotrophic,FW,8.65,11.72,0.13,,,,,,,
151,CF,M,Oz,Tropical,Oligotrophic,FW,8.74,11.34,0.11,,,,,,,
151,CF,M,Oz,Tropical,Oligotrophic,FW,8.12,12.13,0.17,,,,,,,
151,CF,M,Oz,Tropical,Oligotrophic,FW,8.49,12.16,0.16,,,,,,,
151,CF,M,Oz,Tropical,Oligotrophic,FW,7.54,13.29,0.25,,,,,,,
154,Cons,M,Cz,Temperate,NA,LE,83,70,-0.07,,,,,,,
138,CF,F,NA,Temperate,NA,LE,31.62,5.42,-0.77,,,,,,,
138,CF,F,NA,Temperate,NA,LE,12.8,18.94,0.17,,,,,,,
138,CF,F,NA,Temperate,NA,LE,12.8,18.94,0.17,,,,,,,
138,CF,F,NA,Temperate,NA,LE,19.5,10.7,-0.26,,,,,,,
138,CF,F,NA,Temperate,NA,LE,17.4,13.91,-0.10,,,,,,,
138,CF,F,NA,Temperate,NA,LE,14.9,16.73,0.05,,,,,,,
138,CF,F,NA,Temperate,NA,LE,17.3,11.79,-0.17,,,,,,,
138,CF,F,NA,Temperate,NA,LE,18.5,13.76,-0.13,,,,,,,
138,CF,F,NA,Temperate,NA,LE,17.2,12.92,-0.12,,,,,,,
138,CF,F,NA,Temperate,NA,LE,18.1,13.36,-0.13,,,,,,,
138,CF,F,NA,Temperate,NA,LE,21.9,11.72,-0.27,,,,,,,
138,CF,F,NA,Temperate,NA,LE,20.2,12.33,-0.21,,,,,,,
138,CF,F,NA,Temperate,NA,LE,21.6,11.12,-0.29,,,,,,,
138,CF,F,NA,Temperate,NA,LE,21,9.93,-0.33,,,,,,,
138,CF,F,NA,Temperate,NA,LE,23.2,12.29,-0.28,,,,,,,
138,CF,F,NA,Temperate,NA,LE,23.8,11.22,-0.33,,,,,,,
138,CF,F,NA,Temperate,NA,LE,22.23,9.15,-0.39,,,,,,,
138,CF,F,NA,Temperate,NA,LE,20.8,10.11,-0.31,,,,,,,
138,CF,F,NA,Temperate,NA,LE,23.89,8.1,-0.47,,,,,,,
138,CF,F,NA,Temperate,NA,LE,30.38,5.42,-0.75,,,,,,,
138,CF,F,NA,Temperate,NA,LE,23.03,7.77,-0.47,,,,,,,
138,CF,F,NA,Temperate,NA,LE,21.2,11.1,-0.28,,,,,,,
138,CF,F,NA,Temperate,NA,LE,29.6,9.32,-0.50,,,,,,,
138,CF,F,NA,Temperate,NA,LE,24.78,5.02,-0.69,,,,,,,0
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
